"Laps","Time","Cumulative Time","Distance","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Calories","Max Speed","Moving Time","Avg Moving Speed"
"1","20:53","20:53","5.00","14.4","135","164","108","184","194","24.9","20:49","14.4"
"2","22:40","43:33","5.00","13.2","142","169","200","164","206","27.2","22:40","13.2"
"3","21:10","1:04:43","5.00","14.2","144","161","269","66","179","23.0","21:10","14.2"
"4","20:13","1:24:57","5.00","14.8","144","160","217","66","155","23.3","20:13","14.8"
"5","18:18","1:43:15","5.00","16.4","107","149","59","240","55","22.4","18:18","16.4"
"6","19:43","2:02:58","5.00","15.2","119","150","85","167","103","21.6","19:43","15.2"
"7","18:11","2:21:09","5.00","16.5","126","152","105","184","112","22.6","18:11","16.5"
"8","19:37","2:40:46","5.00","15.3","119","152","141","128","104","24.2","19:37","15.3"
"9","18:52","2:59:38","5.00","15.9","126","152","161","220","118","25.1","18:52","15.9"
"10","19:43","3:19:21","5.00","15.2","130","150","184","279","128","30.8","19:43","15.2"
"11","22:50","3:42:11","5.00","13.1","129","155","289","49","152","19.0","22:45","13.2"
"12","28:34","4:10:45","5.00","10.5","156","179","538","36","341","19.7","28:34","10.5"
"13","27:38","4:38:23","5.00","10.9","136","167","364","171","182","25.3","27:35","10.9"
"14","31:22","5:09:45","5.00","9.6","135","160","581","112","215","24.4","31:22","9.6"
"15","25:54","5:35:39","5.00","11.6","138","166","381","118","172","25.2","25:52","11.6"
"16","30:23","6:06:02","5.00","9.9","130","150","322","3","171","12.9","30:23","9.9"
"17","29:40","6:35:42","5.00","10.1","109","158","266","154","122","17.6","29:39","10.1"
"18","4:24.4","6:40:06","0.90","12.2","116","124","0","49","21","15.7","4:24","12.2"
"Summary","6:40:06","6:40:06","85.90","12.9","131","179","4,265","2,382","2,732","30.8","6:39:50","12.9"
